assessment_id,beneficiary_id,cohort_id,assessment_date,wave,score,max_score,assessor,subject
ASMT-000001,BEN-00001,COHORT-SC-001,2025-11-22,1,68.7,100,Joseph Mutinda,Literacy
ASMT-000002,BEN-00001,COHORT-SC-001,2026-02-20,2,72.2,100,Aisha Awino,Life Skills
ASMT-000003,BEN-00002,COHORT-SC-001,2025-11-22,1,84.6,100,Yvonne Simiyu,Literacy
ASMT-000004,BEN-00002,COHORT-SC-001,2026-02-20,2,66.6,100,Aisha Achieng,Life Skills
ASMT-000005,BEN-00003,COHORT-SC-001,2025-12-17,1,52.2,100,Joseph Were,Life Skills
ASMT-000006,BEN-00003,COHORT-SC-001,2026-03-17,2,52.9,100,Seun Musyoka,Literacy
ASMT-000007,BEN-00004,COHORT-SC-001,2025-11-29,1,68.0,100,Priscilla Awino,Technical Skills
ASMT-000008,BEN-00004,COHORT-SC-001,2026-02-27,2,63.3,100,Cynthia Simiyu,Numeracy
ASMT-000009,BEN-00005,COHORT-SC-001,06-Dec-2025,1,73.4,100,Olive Auma,Technical Skills
ASMT-000010,BEN-00005,COHORT-SC-001,2026-03-06,2,49.5,100,Uchenna Owino,Life Skills
ASMT-000011,BEN-00006,COHORT-SC-001,2025-11-26,1,69.0,100,Grace Nyambura,Technical Skills
ASMT-000012,BEN-00006,COHORT-SC-001,2026-03-11,2,84.3,100,Maurice Kariuki,Literacy
ASMT-000013,BEN-00007,COHORT-SC-001,2025-12-05,1,75.5,100,Leonard Achieng,Technical Skills
ASMT-000014,BEN-00007,COHORT-SC-001,2026-03-05,2,60.8,100,Nicholas Nyambura,Literacy
ASMT-000015,BEN-00008,COHORT-SC-001,2025-12-18,1,73.9,100,Queen Maina,Numeracy
ASMT-000016,BEN-00008,COHORT-SC-001,2026-03-18,2,97.5,100,Mary Onyango,Numeracy
ASMT-000017,BEN-00009,COHORT-SC-001,2025-12-14,1,88.4,100,James Kimani,Life Skills
ASMT-000018,BEN-00009,COHORT-SC-001,2026-03-14,2,100.0,100,Quinton Otieno,Numeracy
ASMT-000019,BEN-00010,COHORT-SC-001,2025-11-25,1,66.4,100,Nancy Kimani,Life Skills
ASMT-000020,BEN-00010,COHORT-SC-001,2026-02-23,2,84.3,100,James Omondi,Life Skills
ASMT-000021,BEN-00011,COHORT-SC-001,2025-12-12,1,76.9,100,Mary Kiprotich,Life Skills
ASMT-000022,BEN-00011,COHORT-SC-001,2026-03-12,2,74.5,100,Esther Rotich,Life Skills
ASMT-000023,BEN-00012,COHORT-SC-001,23-Nov-2025,1,88.5,100,Tabitha Ndung'u,Technical Skills
ASMT-000024,BEN-00012,COHORT-SC-001,2026-02-21,2,76.9,100,Francis Kariuki,Literacy
ASMT-000025,BEN-00013,COHORT-SC-001,2025-11-27,1,71.8,100,Uchenna Kiprotich,Literacy
ASMT-000026,BEN-00013,COHORT-SC-001,2026-02-25,2,58.4,100,Mary Njenga,Life Skills
ASMT-000027,BEN-00014,COHORT-SC-001,2025-11-27,1,77.2,100,Grace Adhiambo,Literacy
ASMT-000028,BEN-00014,COHORT-SC-001,2026-03-25,2,81.0,100,Brian Chebet,Literacy
ASMT-000029,BEN-00015,COHORT-SC-001,2025-11-28,1,71.7,100,Gladys Njoroge,Numeracy
ASMT-000030,BEN-00015,COHORT-SC-001,2026-02-26,2,49.0,100,Seun Rotich,Life Skills
ASMT-000031,BEN-00016,COHORT-SC-001,2025-11-23,1,96.1,100,Nancy Waweru,Literacy
ASMT-000032,BEN-00016,COHORT-SC-001,2026-02-21,2,37.6,100,Stephen Rotich,Literacy
ASMT-000033,BEN-00017,COHORT-SC-001,2025-12-15,1,41.6,100,Olive Kariuki,Life Skills
ASMT-000034,BEN-00017,COHORT-SC-001,2026-03-15,2,67.4,100,Uchenna Awino,Technical Skills
ASMT-000035,BEN-00018,COHORT-SC-001,2025-12-03,1,74.1,100,James Waweru,Literacy
ASMT-000036,BEN-00018,COHORT-SC-001,2026-03-03,2,87.4,100,Boniface Otieno,Numeracy
ASMT-000037,BEN-00019,COHORT-SC-001,2025-11-23,1,52.3,100,Stephen Simiyu,Technical Skills
ASMT-000038,BEN-00019,COHORT-SC-001,2026-02-21,2,87.6,100,Violet Maina,Numeracy
ASMT-000039,BEN-00020,COHORT-SC-001,2025-12-17,1,96.4,100,Wanjiku Njoroge,Literacy
ASMT-000040,BEN-00020,COHORT-SC-001,2026-02-23,2,70.8,100,Amina Simiyu,Technical Skills
ASMT-000041,BEN-00021,COHORT-SC-001,02/12/2025,1,59.7,100,Quinton Waweru,Life Skills
ASMT-000042,BEN-00021,COHORT-SC-001,2026-03-02,2,79.1,100,Kezia Waweru,Technical Skills
ASMT-000043,BEN-00022,COHORT-SC-001,2025-12-12,1,66.4,100,Irene Rotich,Literacy
ASMT-000044,BEN-00022,COHORT-SC-001,12/03/2026,2,73.0,100,Eunice Kamau,Numeracy
ASMT-000045,BEN-00023,COHORT-SC-001,2025-12-13,1,74.7,100,Queen Onyango,Numeracy
ASMT-000046,BEN-00023,COHORT-SC-001,2026-03-13,2,74.8,100,Yvonne Njenga,Life Skills
ASMT-000047,BEN-00024,COHORT-SC-001,2025-12-06,1,52.2,100,Owen Waweru,Technical Skills
ASMT-000048,BEN-00024,COHORT-SC-001,2026-03-06,2,64.8,100,Boniface Chebet,Technical Skills
ASMT-000049,BEN-00025,COHORT-SC-001,2025-12-09,1,55.5,100,Cynthia Mugo,Technical Skills
ASMT-000050,BEN-00025,COHORT-SC-001,2026-03-09,2,75.1,100,Tabitha Were,Life Skills
ASMT-000051,BEN-00026,COHORT-SC-001,2025-12-21,1,86.8,100,Zipporah Githinji,Numeracy
ASMT-000052,BEN-00026,COHORT-SC-001,2026-03-08,2,69.4,100,Zipporah Ochieng,Technical Skills
ASMT-000053,BEN-00027,COHORT-SC-001,2025-12-08,1,100.0,100,David Kimani,Numeracy
ASMT-000054,BEN-00027,COHORT-SC-001,2026-03-08,2,68.5,100,,Life Skills
ASMT-000055,BEN-00028,COHORT-SC-001,2025-12-22,1,84.5,100,Harrison Simiyu,Life Skills
ASMT-000056,BEN-00028,COHORT-SC-001,2026-02-25,2,66.3,100,Raphael Rotich,Literacy
ASMT-000057,BEN-00029,COHORT-SC-001,2025-11-20,1,49.8,100,Aisha Githinji,Life Skills
ASMT-000058,BEN-00029,COHORT-SC-001,18-Feb-2026,2,64.6,100,Violet Waweru,Life Skills
ASMT-000059,BEN-00030,COHORT-SC-001,2025-12-06,1,60.5,100,Gladys Musyoka,Life Skills
ASMT-000060,BEN-00030,COHORT-SC-001,2026-03-06,2,89.2,100,Olive Kiplagat,Numeracy
ASMT-000061,BEN-00031,COHORT-SC-001,25-Nov-2025,1,74.1,100,,Life Skills
ASMT-000062,BEN-00031,COHORT-SC-001,2026-02-23,2,63.0,100,James Njoroge,Numeracy
ASMT-000063,BEN-00032,COHORT-SC-001,2025-12-06,1,100.0,100,Nancy Njoroge,Literacy
ASMT-000064,BEN-00032,COHORT-SC-001,2026-03-06,2,59.7,100,Eunice Achieng,Literacy
ASMT-000065,BEN-00033,COHORT-SC-001,2025-11-28,1,66.6,100,James Kamau,Technical Skills
ASMT-000066,BEN-00033,COHORT-SC-001,2026-02-26,2,61.1,100,Kezia Otieno,Technical Skills
ASMT-000067,BEN-00034,COHORT-SC-001,26-Nov-2025,1,77.6,100,Aisha Musyoka,Life Skills
ASMT-000068,BEN-00034,COHORT-SC-001,2026-02-24,2,44.8,100,James Mugo,Literacy
ASMT-000069,BEN-00035,COHORT-SC-001,2025-12-16,1,93.4,100,Priscilla Kimani,Literacy
ASMT-000070,BEN-00035,COHORT-SC-001,2026-03-16,2,80.4,100,David Njenga,Literacy
ASMT-000071,BEN-00036,COHORT-SC-001,2025-11-25,1,68.9,100,Amina Gichuki,Technical Skills
