visit_id,beneficiary_id,cohort_id,visit_date,officer_name,visit_outcome,gps_latitude,gps_longitude,notes,follow_up_required
FV-000001,BEN-00002,COHORT-SC-001,27/10/2025,Boniface Odongo,Verified,-1.21237,36.87535,Ad eius dolore qui perspiciatis.,True
FV-000002,BEN-00003,COHORT-SC-001,2026-05-04,Rose Gichuki,No Contact,-1.28962,36.7712,Assumenda in adipisci dolor magnam ad dicta officiis molestias dolore.,True
FV-000003,BEN-00003,COHORT-SC-001,24/09/2025,Irene Githinji,Verified,-1.28405,36.7829,Eius sit quis cum in eius dolor quis aut fugit.,True
FV-000004,BEN-00003,COHORT-SC-001,2026-01-28,Seun Kiplagat,Referred,-1.29476,36.88777,Sed nobis rem quas modi voluptate fugiat mollitia.,
FV-000005,BEN-00004,COHORT-SC-001,2025-09-16,Xavier Kariuki,No Contact,-1.33792,36.75282,Nulla similique neque provident aliquid dolorem enim aspernatur doloremque aut eius.,True
FV-000006,BEN-00004,COHORT-SC-001,2025-09-26,Joseph Omondi,No Contact,-1.35207,36.86756,Cum explicabo pariatur praesentium placeat architecto odio modi.,
FV-000007,BEN-00005,COHORT-SC-001,2025-09-26,Kezia Mutinda,Verified,-1.37796,36.72164,Cum fugit voluptatibus odit nam placeat sapiente.,
FV-000008,BEN-00006,COHORT-SC-001,2026-07-20,Hassan Mutinda,Verified,-1.27114,36.85977,Dolorem adipisci et eaque distinctio.,True
FV-000009,BEN-00007,COHORT-SC-001,2026-06-12,Rose Odongo,Verified,-1.31589,36.90271,Soluta et omnis id totam itaque eaque doloribus natus ea.,False
FV-000010,BEN-00008,COHORT-SC-001,2026-06-04,Violet Awino,Verified,-1.31879,36.75438,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique corrupti cum.,False
FV-000011,BEN-00009,COHORT-SC-001,2026-02-23,Eunice Adhiambo,Partially Verified,-1.37361,36.87631,Nisi harum nisi iusto dolorum mollitia velit perspiciatis beatae.,True
FV-000012,BEN-00009,COHORT-SC-001,2025-12-17,Xavier Chebet,Verified,-1.34296,36.77332,Quibusdam quisquam excepturi eos culpa a quam quaerat voluptas quis.,False
FV-000013,BEN-00009,COHORT-SC-001,2025-12-28,Harrison Gichuki,No Contact,-1.24674,36.84751,Totam sit error odit non corrupti quis molestiae quod.,False
FV-000014,BEN-00010,COHORT-SC-001,2025-11-12,Zipporah Wangari,Partially Verified,-1.3002,36.87337,Ullam nobis laborum beatae facilis voluptates rem dolores dolores necessitatibus.,False
FV-000015,BEN-00010,COHORT-SC-001,2026-03-02,Seun Mugo,Verified,-1.22268,36.72568,Assumenda laborum architecto quis quisquam.,
FV-000016,BEN-00011,COHORT-SC-001,27/02/2026,Quinton Kiplagat,Verified,-1.34542,36.75715,Optio veniam cumque minus non vitae.,True
FV-000017,BEN-00012,COHORT-SC-001,09/03/2026,Uchenna Kiplagat,Verified,-1.34823,36.74426,Quidem porro quae id perferendis fuga tempore iste dolorum aperiam.,True
FV-000018,BEN-00013,COHORT-SC-001,2026-01-02,Rose Githinji,No Contact,-1.18704,36.83461,Nihil dolorem dolore architecto.,True
FV-000019,BEN-00013,COHORT-SC-001,2026-01-29,Kendi Rotich,Partially Verified,-1.36858,36.74766,Animi architecto adipisci ex maiores eius laborum molestiae quam sunt nemo.,
FV-000020,BEN-00013,COHORT-SC-001,2026-04-27,Owen Maina,verified,-1.23096,36.85619,Quos rem deleniti atque inventore incidunt iure.,
FV-000021,BEN-00014,COHORT-SC-001,2025-09-24,Cynthia Adhiambo,Partially Verified,-1.3055,36.85717,Perferendis voluptates atque illo excepturi.,False
FV-000022,BEN-00014,COHORT-SC-001,2025-08-29,Hassan Onyango,No Contact,-1.19281,36.89061,Dolorum deleniti ipsum in eius.,True
FV-000023,BEN-00014,COHORT-SC-001,2026-06-20,Wanjiku Musyoka,Verified,-1.30228,36.79441,Soluta asperiores repellat sequi atque officiis molestiae.,True
FV-000024,BEN-00015,COHORT-SC-001,22-Sep-2025,Nicholas Mwangi,Verified,-1.1986,36.84187,Voluptas unde sed cumque.,
FV-000025,BEN-00016,COHORT-SC-001,2025-11-21,Zipporah Wanjiku,Verified,-1.23769,36.81582,Laboriosam sint temporibus cum a hic unde quos eligendi.,False
FV-000026,BEN-00016,COHORT-SC-001,2026-03-01,Esther Odongo,Partially Verified,-1.24381,36.76468,Optio laborum deleniti dolor animi quasi aperiam et amet labore.,
FV-000027,BEN-00016,COHORT-SC-001,2025-11-22,Grace Kamau,Verified,-1.222,36.72688,Culpa vero aspernatur delectus nisi perferendis doloremque blanditiis tempora doloribus.,False
FV-000028,BEN-00017,COHORT-SC-001,2026-06-06,Esther Were,Verified,-1.35547,36.90181,Aliquam aspernatur omnis natus et ea pariatur et eaque consectetur.,False
FV-000029,BEN-00017,COHORT-SC-001,2026-04-23,Maurice Were,Verified,,36.8122,Itaque ut vel ab numquam natus aut.,False
FV-000030,BEN-00017,COHORT-SC-001,2026-08-12,Joseph Chebet,Verified,-1.31247,36.85297,Distinctio eaque ut sunt sunt fuga culpa rerum provident nostrum.,
FV-000031,BEN-00018,COHORT-SC-001,2025-09-16,Zipporah Mwangi,Verified,-1.35129,36.85281,Ab repellendus error optio vel consequatur blanditiis autem mollitia earum.,
FV-000032,BEN-00018,COHORT-SC-001,2025-11-26,Queen Kariuki,Partially Verified,-1.35474,36.74132,Distinctio exercitationem porro sequi magnam dolorum tenetur amet odio repudiandae.,
FV-000033,BEN-00019,COHORT-SC-001,2025-10-30,Leonard Ndung'u,Verified,-1.28645,36.77989,A quo odio ea qui.,True
FV-000034,BEN-00020,COHORT-SC-001,2026-06-02,Caroline Githinji,verified,-1.30254,36.91595,Provident natus beatae velit porro corrupti alias fuga mollitia inventore.,False
FV-000035,BEN-00021,COHORT-SC-001,2026-03-19,Rose Auma,Partially Verified,-1.23051,36.8956,Est tempore recusandae similique tempore.,True
FV-000036,BEN-00022,COHORT-SC-001,2026-04-03,Leonard Were,Verified,-1.21282,36.91272,Placeat pariatur explicabo nam soluta voluptate.,True
FV-000037,BEN-00022,COHORT-SC-001,2025-12-30,Leonard Mutua,Verified,-1.29176,36.73909,Unde dolores cum reiciendis debitis impedit.,
FV-000038,BEN-00023,COHORT-SC-001,2025-12-18,Violet Mwangi,verified,-1.28808,36.79867,Qui ex ut rem sint repellat.,True
FV-000039,BEN-00024,COHORT-SC-001,2025-11-19,Tabitha Musyoka,No Contact,-1.21062,36.88967,Culpa praesentium fugit aliquam iusto dicta ullam.,True
FV-000040,BEN-00024,COHORT-SC-001,2026-02-20,Rose Gichuki,partial,-1.30771,36.83383,Esse recusandae dolorem ad deserunt eveniet sint vitae.,
FV-000041,BEN-00025,COHORT-SC-001,25-Mar-2026,Violet Auma,Verified,-1.38167,36.87931,Expedita magni perspiciatis sapiente ex adipisci soluta.,False
FV-000042,BEN-00025,COHORT-SC-001,2026-03-14,Mary Auma,Referred,-1.3003,36.76267,Debitis vitae eaque autem ipsa quas et.,True
FV-000043,BEN-00026,COHORT-SC-001,2026-02-20,Tabitha Maina,Verified,-1.26499,36.74465,Voluptates blanditiis tempore deleniti aliquid ipsa maxime rem porro velit.,True
FV-000044,BEN-00026,COHORT-SC-001,2025-12-16,Felix Kimani,Verified,-1.27878,36.85437,Facilis architecto optio ex et sed.,False
FV-000045,BEN-00027,COHORT-SC-001,31/03/2026,Priscilla Kiprotich,verified,-1.19766,36.74406,Magni pariatur eveniet possimus mollitia deleniti pariatur.,True
FV-000046,BEN-00027,COHORT-SC-001,09-Oct-2025,Priscilla Owino,No Contact,-1.35053,36.81439,Perspiciatis temporibus nulla error molestias a enim inventore.,
FV-000047,BEN-00028,COHORT-SC-001,2026-05-01,Rose Maina,No Contact,-1.26102,36.91634,Non eum ipsam perferendis maiores recusandae vero quasi omnis eligendi.,
FV-000048,BEN-00029,COHORT-SC-001,2026-02-14,Owen Auma,Verified,-1.3509,36.86689,Excepturi repellendus quibusdam perferendis dolore dicta ad doloribus labore sed asperiores.,True
FV-000049,BEN-00030,COHORT-SC-001,2026-02-05,Xavier Owino,Verified,-1.23315,36.8428,Suscipit nemo quaerat fugit id corporis porro tempora similique.,True
FV-000050,BEN-00030,COHORT-SC-001,2026-03-03,Stephen Auma,Verified,-1.35947,36.76168,Quod dolor rem possimus iure.,
FV-000051,BEN-00031,COHORT-SC-001,24-Jan-2026,Brian Odongo,Verified,-1.20328,36.73092,Dolorum sed itaque reiciendis pariatur voluptates nisi veniam tempora nostrum.,True
FV-000052,BEN-00032,COHORT-SC-001,20/09/2025,Joseph Auma,Verified,-1.24456,36.79795,Incidunt tenetur ipsum culpa similique ipsum quibusdam saepe eius.,
FV-000053,BEN-00033,COHORT-SC-001,2026-05-07,Nicholas Njenga,Verified,-1.30869,36.83638,Laborum dolores ipsam quae doloremque excepturi tempora aspernatur corrupti fugit.,True
FV-000054,BEN-00034,COHORT-SC-001,26-Aug-2025,Zipporah Maina,Verified,-1.19778,36.86912,Provident aperiam illum molestiae impedit dignissimos.,True
FV-000055,BEN-00034,COHORT-SC-001,2025-11-11,Stephen Gichuki,Referred,-1.27522,36.77103,Harum quo veniam accusantium sunt nemo labore velit error.,True
FV-000056,BEN-00035,COHORT-SC-001,2025-08-28,David Kamau,Verified,-1.37251,36.87294,Sequi veritatis in quibusdam molestias nobis dolore dolor.,
FV-000057,BEN-00035,COHORT-SC-001,21/07/2026,Grace Simiyu,Verified,-1.37663,36.88358,Laborum harum pariatur reiciendis quam saepe ullam voluptatem modi.,False
FV-000058,BEN-00035,COHORT-SC-001,2026-04-23,James Wanjiku,Referred,-1.3522,36.85832,Nihil optio assumenda inventore sint delectus ea eveniet.,True
FV-000059,BEN-00036,COHORT-SC-001,2026-02-27,James Awino,Verified,-1.35201,36.86277,Eveniet quis fugit quibusdam rerum dolorum aspernatur accusantium molestiae.,
FV-000060,BEN-00036,COHORT-SC-001,2025-10-17,Irene Wangari,Verified,-1.25398,36.88011,Dolore architecto vero aliquam adipisci dolorum saepe numquam.,True
FV-000061,BEN-00036,COHORT-SC-001,2025-10-17,Kendi Mutua,no contact,-1.37162,36.79789,Commodi pariatur natus dolor praesentium quisquam cumque.,
FV-000062,BEN-00037,COHORT-SC-001,2026-03-16,Kezia Wanjiku,Verified,-1.19002,36.75258,Vitae quaerat quod cum est neque ut nemo tenetur fugiat.,
FV-000063,BEN-00039,COHORT-SC-001,31-Dec-2025,Irene Mutua,Partially Verified,-1.27043,36.75003,Asperiores porro occaecati aut quo sed.,True
FV-000064,BEN-00039,COHORT-SC-001,2025-11-24,Kendi Otieno,Partially Verified,-1.34849,36.78206,Rem recusandae natus aliquam minus optio architecto officia accusamus in.,True
FV-000065,BEN-00040,COHORT-SC-001,2025-09-03,Lilian Otieno,No Contact,-1.28385,36.81271,Autem vero odio repudiandae provident ipsa quasi vitae earum.,True
FV-000066,BEN-00040,COHORT-SC-001,2026-02-23,Felix Kiplagat,no contact,-1.38104,36.82039,Quo iure repudiandae nihil eum doloribus vel eius iste quibusdam.,False
